stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code,jurisdiction,equipment
40309,50303,Longmore & Pueblo Av (Flag Zone),SB Longmore & FS Pueblo Av (Flag Zone),33.400429,-111.86587,,,0,,,Mesa,0
40310,50304,Longmore & Emerald Av (Flag Zone),SB Longmore & FS Emerald Av (Flag Zone),33.396578,-111.865987,,,0,,,Mesa,0
40311,50305,Emelita Av & Dobson Rd (Flag Zone),EB Emelita Av & FS Dobson Rd (Flag Zone),33.398228,-111.872841,,,0,,,Mesa,0
40312,50306,Emelita Av & Sycamore (Flag Zone),EB Emelita Av & NS Sycamore (Flag Zone),33.398403,-111.870006,,,0,,,Mesa,0
40313,50307,Sycamore & 8th Av (Flag Zone),NB Sycamore & NS 8th Av (Flag Zone),33.400629,-111.869718,,,0,,,Mesa,0
40314,50308,8th Av & Dobson Rd (Flag Zone),WB 8th Av & NS Dobson Rd (Flag Zone),33.400403,-111.874042,,,0,,,Mesa,0
40315,50309,Longmore & Main St (Flag Zone),NB Longmore & FS Main St (Flag Zone),33.415348,-111.865355,,,0,,,Mesa,0
40316,50310,Longmore & Argon St (Flag Zone),NB Longmore & FS Argon St (Flag Zone),33.41849,-111.865322,,,0,,,Mesa,0
438,15992,Javalina Av & Lewis,EB Javalina Av & FS Lewis,33.380348,-111.827483,,,0,,,Mesa,
4426,15493,Alma School Rd & 7th St,SB Alma School Rd & FS 7th St,33.426641,-111.856483,,,0,,,Mesa,
4427,15492,Alma School Rd & Rio Salado Pkwy,SB Alma School Rd & FS Rio Salado Pkwy,33.429033,-111.856469,,,0,,,Mesa,
4435,15494,Alma School Rd & University Dr,SB Alma School Rd & FS University Dr,33.421606,-111.856622,,,0,,,Mesa,
4438,15495,Alma School Rd & 2nd St,SB Alma School Rd & NS 2nd St,33.418772,-111.856655,,,0,,,Mesa,
4490,17385,Center St & 5th St,SB Center St & FS 5th St,33.423278,-111.831577,,,0,,,Mesa,
4491,17384,Center St & 6th Pl,SB Center St & FS 6th Pl,33.426573,-111.831519,,,0,,,Mesa,
4492,16510,Center St & 8th Pl,SB Center St & FS 8th Pl,33.430859,-111.831442,,,0,,,Mesa,
4499,16013,Center St & Brown Rd,SB Center St & FS Brown Rd,33.434556,-111.831408,,,0,,,Mesa,
4500,15954,Center St & Inglewood St,SB Center St & FS Inglewood St,33.446961,-111.831279,,,0,,,Mesa,
4501,15952,Center St & McKellips Rd,SB Center St & FS McKellips Rd,33.450919,-111.831283,,,0,,,Mesa,
4563,15963,Country Club Dr & 1st St,SB Country Club Dr & FS 1st St,33.417026,-111.840158,,,0,,,Mesa,
4564,15961,Country Club Dr & 6th Pl,SB Country Club Dr & FS 6th Pl,33.425751,-111.84013,,,0,,,Mesa,
4565,15960,Country Club Dr & 8th St,SB Country Club Dr & FS 8th St,33.429022,-111.840108,,,0,,,Mesa,
4566,15958,Country Club Dr & Brown Rd,SB Country Club Dr & FS Brown Rd,33.434739,-111.840099,,,0,,,Mesa,
4567,15957,Country Club Dr & Fairway Dr,SB Country Club Dr & FS Fairway Dr,33.439721,-111.840029,,,0,,,Mesa,
4568,15956,Country Club Dr & McLellan Rd,SB Country Club Dr & FS McLellan Rd,33.443862,-111.839986,,,0,,,Mesa,
4569,15962,Country Club Dr & University Dr,SB Country Club Dr & FS University Dr,33.421825,-111.840177,,,0,,,Mesa,
4570,15959,Country Club Dr & 9th Pl,SB Country Club Dr & FS 9th Pl,33.432225,-111.840096,,,0,,,Mesa,
4572,17393,Date & Cherry,SB Date & NS Cherry,33.430679,-111.844832,,,0,,,Mesa,
4574,12077,Dobson Rd & 2nd St,SB Dobson Rd & FS 2nd St,33.418283,-111.87456,,,0,,,Mesa,
4582,12076,Dobson Rd & University Dr,SB Dobson Rd & FS University Dr,33.421578,-111.874562,,,0,,,Mesa,
4596,16261,Gilbert Rd & 8th St,SB Gilbert Rd & FS 8th St,33.429772,-111.788148,,,0,,,Mesa,
4599,16234,Gilbert Rd & Brown Rd,SB Gilbert Rd & FS Brown Rd,33.436816,-111.788074,,,0,,,Mesa,
4600,16262,Gilbert Rd & Decatur St,SB Gilbert Rd & FS Decatur St,33.426438,-111.788252,,,0,,,Mesa,
4602,16260,Gilbert Rd & Fairfield St,SB Gilbert Rd & FS Fairfield St,33.433604,-111.78808,,,0,,,Mesa,
4603,16241,Gilbert Rd & Grandview St,SB Gilbert Rd & FS Grandview St,33.439892,-111.787929,,,0,,,Mesa,
4605,18160,Gilbert Rd & Hermosa Vista Dr,SB Gilbert Rd & FS Hermosa Vista Dr,33.458964,-111.78942,,,0,,,Mesa,
4607,18161,Gilbert Rd & Lockwood St,SB Gilbert Rd & FS Lockwood St,33.455712,-111.787783,,,0,,,Mesa,
4608,16239,Gilbert Rd & McKellips Rd,SB Gilbert Rd & FS McKellips Rd,33.451078,-111.787853,,,0,,,Mesa,
4609,16240,Gilbert Rd & McLellan Rd,SB Gilbert Rd & FS McLellan Rd,33.444093,-111.787885,,,0,,,Mesa,
461,12542,Main St & Center St,EB Main St & FS Center St,33.414936,-111.830516,,,0,,,Mesa,
4610,16264,Gilbert Rd & University Dr,SB Gilbert Rd & FS University Dr,33.422146,-111.788385,,,0,,,Mesa,
4614,16265,Gilbert Rd & 214 North,SB Gilbert Rd & AT 214 North,33.419024,-111.78838,,,0,,,Mesa,
462,12550,Main St & Harris Dr,EB Main St & FS Harris Dr,33.415146,-111.795996,,,0,,,Mesa,
463,12543,Main St & Hibbert,EB Main St & FS Hibbert,33.414912,-111.825711,,,0,,,Mesa,
465,12546,Main St & Horne,EB Main St & FS Horne,33.414955,-111.812883,,,0,,,Mesa,
467,12548,Main St & Stapley Dr,EB Main St & FS Stapley Dr,33.415022,-111.804488,,,0,,,Mesa,
4678,16003,Mesa Dr & 2nd St,NB Mesa Dr & FS 2nd St,33.41975,-111.822774,,,0,,,Mesa,
4679,16019,Mesa Dr & 1st St,SB Mesa Dr & FS 1st St,33.416883,-111.823069,,,0,,,Mesa,
4681,16016,Mesa Dr & 6th St,SB Mesa Dr & FS 6th St,33.425734,-111.822934,,,0,,,Mesa,
4682,16017,Mesa Dr & University Dr,SB Mesa Dr & FS University Dr,33.422048,-111.823047,,,0,,,Mesa,
4684,16015,Mesa Dr & 8th St,SB Mesa Dr & FS 8th St,33.428947,-111.822913,,,0,,,Mesa,
469,12547,Main St & Miller,EB Main St & FS Miller,33.414963,-111.808873,,,0,,,Mesa,
4719,16751,Power Rd & Albany St,SB Power Rd & FS Albany St,33.41859,-111.684665,,,0,,,Mesa,
4721,16747,Power Rd & Brown Rd,SB Power Rd & FS Brown Rd,33.436749,-111.684489,,,0,,,Mesa,
4722,16746,Power Rd & Inglewood St,SB Power Rd & FS Inglewood St,33.447784,-111.684318,,,0,,,Mesa,
4723,16745,Power Rd & McKellips Rd,SB Power Rd & FS McKellips Rd,33.451088,-111.684371,,,0,,,Mesa,
4724,16750,Power Rd & University Dr,SB Power Rd & FS University Dr,33.4224,-111.684699,,,0,,,Mesa,
4791,16108,Stapley Dr & McLellan Rd,SB Stapley Dr & FS McLellan Rd,33.444128,-111.80522,,,0,,,Mesa,
4792,16889,Stapley Dr & 2nd St,SB Stapley Dr & FS 2nd St,33.418634,-111.805421,,,0,,,Mesa,
4793,16113,Stapley Dr & 6th St,SB Stapley Dr & FS 6th St,33.425454,-111.805417,,,0,,,Mesa,
4794,16112,Stapley Dr & 9th St,SB Stapley Dr & FS 9th St,33.43098,-111.805402,,,0,,,Mesa,
4795,16110,Stapley Dr & Brown Rd,SB Stapley Dr & FS Brown Rd,33.436631,-111.805417,,,0,,,Mesa,
4796,16111,Stapley Dr & Fairfield St,SB Stapley Dr & FS Fairfield St,33.433809,-111.805412,,,0,,,Mesa,
4797,16109,Stapley Dr & Halifax St,SB Stapley Dr & FS Halifax St,33.441089,-111.805291,,,0,,,Mesa,
4798,16107,Stapley Dr & Jensen St,SB Stapley Dr & FS Jensen St,33.447709,-111.805118,,,0,,,Mesa,
4799,16114,Stapley Dr & University Dr,SB Stapley Dr & FS University Dr,33.422136,-111.805414,,,0,,,Mesa,
5001,15498,Alma School Rd & 6th Av,SB Alma School Rd & FS 6th Av,33.403356,-111.857045,,,0,,,Mesa,
5002,15499,Alma School Rd & 8th Av,SB Alma School Rd & FS 8th Av,33.399931,-111.857182,,,0,,,Mesa,
5003,15504,Alma School Rd & Baseline Rd,SB Alma School Rd & FS Baseline Rd,33.378096,-111.859966,,,0,,,Mesa,
5004,15497,Alma School Rd & Broadway Rd,SB Alma School Rd & FS Broadway Rd,33.406908,-111.856916,,,0,,,Mesa,
5006,15500,Alma School Rd & Emerald Av,SB Alma School Rd & FS Emerald Av,33.396497,-111.857321,,,0,,,Mesa,
5007,15508,Alma School Rd & Guadalupe Rd,SB Alma School Rd & FS Guadalupe Rd,33.363002,-111.85927,,,0,,,Mesa,
5008,15503,Alma School Rd & Isabella Av,SB Alma School Rd & FS Isabella Av,33.383002,-111.858154,,,0,,,Mesa,
5009,15505,Alma School Rd & Kilarea Av,SB Alma School Rd & FS Kilarea Av,33.374357,-111.859704,,,0,,,Mesa,
5010,15496,Alma School Rd & Main St,SB Alma School Rd & FS Main St,33.414278,-111.856819,,,0,,,Mesa,
5011,15506,Alma School Rd & Medina Av,SB Alma School Rd & FS Medina Av,33.371051,-111.859539,,,0,,,Mesa,
5013,15507,Alma School Rd & Meseto Av,SB Alma School Rd & FS Meseto Av,33.367875,-111.859386,,,0,,,Mesa,
5014,15509,Alma School Rd & Pecos Av,SB Alma School Rd & FS Pecos Av,33.359999,-111.859231,,,0,,,Mesa,
5016,15501,Alma School Rd & Southern Av,SB Alma School Rd & NS Southern Av,33.393338,-111.857394,,,0,,,Mesa,
5017,15502,Alma School Rd & Grove Av,SB Alma School Rd & NS Grove Av,33.391475,-111.85751,,,0,,,Mesa,
