GEO_ID,GEO_ID_CLEAN,GEO_ID_FIXED_TEXT,NAME,B01003_001E,B01003_001M
1400000US04013112507,4013112507,04013112507,Census Tract 1125.07; Maricopa County; Arizona,2954,870
1400000US04013112508,4013112508,04013112508,Census Tract 1125.08; Maricopa County; Arizona,2563,362
1400000US04013112510,4013112510,04013112510,Census Tract 1125.10; Maricopa County; Arizona,4600,584
1400000US04013112512,4013112512,04013112512,Census Tract 1125.12; Maricopa County; Arizona,807,200
1400000US04013112514,4013112514,04013112514,Census Tract 1125.14; Maricopa County; Arizona,4804,755
1400000US04013112515,4013112515,04013112515,Census Tract 1125.15; Maricopa County; Arizona,4765,602
1400000US04013112516,4013112516,04013112516,Census Tract 1125.16; Maricopa County; Arizona,4476,1229
1400000US04013112517,4013112517,04013112517,Census Tract 1125.17; Maricopa County; Arizona,5106,615
1400000US04013112518,4013112518,04013112518,Census Tract 1125.18; Maricopa County; Arizona,5416,1009
1400000US04013112519,4013112519,04013112519,Census Tract 1125.19; Maricopa County; Arizona,4611,1619
1400000US04013112520,4013112520,04013112520,Census Tract 1125.20; Maricopa County; Arizona,4415,588
1400000US04013112521,4013112521,04013112521,Census Tract 1125.21; Maricopa County; Arizona,3253,574
1400000US04013112522,4013112522,04013112522,Census Tract 1125.22; Maricopa County; Arizona,6576,1492
1400000US04013112523,4013112523,04013112523,Census Tract 1125.23; Maricopa County; Arizona,4192,993
1400000US04013112524,4013112524,04013112524,Census Tract 1125.24; Maricopa County; Arizona,5214,1303
1400000US04013112601,4013112601,04013112601,Census Tract 1126.01; Maricopa County; Arizona,3286,733
1400000US04013112602,4013112602,04013112602,Census Tract 1126.02; Maricopa County; Arizona,8475,1077
1400000US04013112700,4013112700,04013112700,Census Tract 1127; Maricopa County; Arizona,7563,744
1400000US04013112900,4013112900,04013112900,Census Tract 1129; Maricopa County; Arizona,4517,647
1400000US04013113000,4013113000,04013113000,Census Tract 1130; Maricopa County; Arizona,4262,837
1400000US04013113100,4013113100,04013113100,Census Tract 1131; Maricopa County; Arizona,6609,620
1400000US04013113201,4013113201,04013113201,Census Tract 1132.01; Maricopa County; Arizona,2106,384
1400000US04013113202,4013113202,04013113202,Census Tract 1132.02; Maricopa County; Arizona,2087,465
1400000US04013113204,4013113204,04013113204,Census Tract 1132.04; Maricopa County; Arizona,2383,367
1400000US04013113301,4013113301,04013113301,Census Tract 1133.01; Maricopa County; Arizona,3055,812
1400000US04013113502,4013113502,04013113502,Census Tract 1135.02; Maricopa County; Arizona,2775,424
1400000US04013113503,4013113503,04013113503,Census Tract 1135.03; Maricopa County; Arizona,4501,775
1400000US04013113601,4013113601,04013113601,Census Tract 1136.01; Maricopa County; Arizona,4299,962
1400000US04013113602,4013113602,04013113602,Census Tract 1136.02; Maricopa County; Arizona,4200,802
1400000US04013113701,4013113701,04013113701,Census Tract 1137.01; Maricopa County; Arizona,6136,1204
1400000US04013113702,4013113702,04013113702,Census Tract 1137.02; Maricopa County; Arizona,2389,672
1400000US04013113800,4013113800,04013113800,Census Tract 1138; Maricopa County; Arizona,2610,395
1400000US04013113900,4013113900,04013113900,Census Tract 1139; Maricopa County; Arizona,1330,382
1400000US04013114000,4013114000,04013114000,Census Tract 1140; Maricopa County; Arizona,1801,265
1400000US04013114100,4013114100,04013114100,Census Tract 1141; Maricopa County; Arizona,2605,256
1400000US04013114200,4013114200,04013114200,Census Tract 1142; Maricopa County; Arizona,938,169
1400000US04013114301,4013114301,04013114301,Census Tract 1143.01; Maricopa County; Arizona,911,471
1400000US04013114302,4013114302,04013114302,Census Tract 1143.02; Maricopa County; Arizona,2593,414
1400000US04013114401,4013114401,04013114401,Census Tract 1144.01; Maricopa County; Arizona,1640,338
1400000US04013114402,4013114402,04013114402,Census Tract 1144.02; Maricopa County; Arizona,1904,283
1400000US04013114500,4013114500,04013114500,Census Tract 1145; Maricopa County; Arizona,3840,543
1400000US04013114600,4013114600,04013114600,Census Tract 1146; Maricopa County; Arizona,1754,403
1400000US04013114704,4013114704,04013114704,Census Tract 1147.04; Maricopa County; Arizona,2019,303
1400000US04013114705,4013114705,04013114705,Census Tract 1147.05; Maricopa County; Arizona,3783,255
1400000US04013114800,4013114800,04013114800,Census Tract 1148; Maricopa County; Arizona,3031,549
1400000US04013114900,4013114900,04013114900,Census Tract 1149; Maricopa County; Arizona,3008,378
1400000US04013115200,4013115200,04013115200,Census Tract 1152; Maricopa County; Arizona,3545,604
1400000US04013115300,4013115300,04013115300,Census Tract 1153; Maricopa County; Arizona,2567,537
1400000US04013115400,4013115400,04013115400,Census Tract 1154; Maricopa County; Arizona,1706,360
1400000US04013115500,4013115500,04013115500,Census Tract 1155; Maricopa County; Arizona,3712,547
1400000US04013115600,4013115600,04013115600,Census Tract 1156; Maricopa County; Arizona,5137,812
1400000US04013115700,4013115700,04013115700,Census Tract 1157; Maricopa County; Arizona,7697,793
1400000US04013115801,4013115801,04013115801,Census Tract 1158.01; Maricopa County; Arizona,3754,410
1400000US04013115802,4013115802,04013115802,Census Tract 1158.02; Maricopa County; Arizona,3583,894
1400000US04013115900,4013115900,04013115900,Census Tract 1159; Maricopa County; Arizona,5849,952
1400000US04013116000,4013116000,04013116000,Census Tract 1160; Maricopa County; Arizona,6454,669
1400000US04013116100,4013116100,04013116100,Census Tract 1161; Maricopa County; Arizona,4721,668
1400000US04013116202,4013116202,04013116202,Census Tract 1162.02; Maricopa County; Arizona,4898,695
1400000US04013116203,4013116203,04013116203,Census Tract 1162.03; Maricopa County; Arizona,6851,1301
1400000US04013116204,4013116204,04013116204,Census Tract 1162.04; Maricopa County; Arizona,4239,1071
1400000US04013116205,4013116205,04013116205,Census Tract 1162.05; Maricopa County; Arizona,3765,562
1400000US04013116300,4013116300,04013116300,Census Tract 1163; Maricopa County; Arizona,6013,1172
1400000US04013116400,4013116400,04013116400,Census Tract 1164; Maricopa County; Arizona,5870,1246
1400000US04013116500,4013116500,04013116500,Census Tract 1165; Maricopa County; Arizona,4807,1180
1400000US04013116605,4013116605,04013116605,Census Tract 1166.05; Maricopa County; Arizona,7143,1155
1400000US04013116606,4013116606,04013116606,Census Tract 1166.06; Maricopa County; Arizona,6228,761
1400000US04013116607,4013116607,04013116607,Census Tract 1166.07; Maricopa County; Arizona,4119,458
1400000US04013116610,4013116610,04013116610,Census Tract 1166.10; Maricopa County; Arizona,7271,948
1400000US04013116611,4013116611,04013116611,Census Tract 1166.11; Maricopa County; Arizona,4338,711
1400000US04013116612,4013116612,04013116612,Census Tract 1166.12; Maricopa County; Arizona,7103,888
1400000US04013116614,4013116614,04013116614,Census Tract 1166.14; Maricopa County; Arizona,3619,689
1400000US04013116615,4013116615,04013116615,Census Tract 1166.15; Maricopa County; Arizona,4005,693
1400000US04013116616,4013116616,04013116616,Census Tract 1166.16; Maricopa County; Arizona,5103,871
1400000US04013116617,4013116617,04013116617,Census Tract 1166.17; Maricopa County; Arizona,3685,1069
1400000US04013116618,4013116618,04013116618,Census Tract 1166.18; Maricopa County; Arizona,5724,942
1400000US04013116619,4013116619,04013116619,Census Tract 1166.19; Maricopa County; Arizona,5575,564
1400000US04013116620,4013116620,04013116620,Census Tract 1166.20; Maricopa County; Arizona,8440,1084
1400000US04013116621,4013116621,04013116621,Census Tract 1166.21; Maricopa County; Arizona,6217,1316
1400000US04013116703,4013116703,04013116703,Census Tract 1167.03; Maricopa County; Arizona,5272,643
1400000US04013116707,4013116707,04013116707,Census Tract 1167.07; Maricopa County; Arizona,3157,471
1400000US04013116708,4013116708,04013116708,Census Tract 1167.08; Maricopa County; Arizona,5406,589
1400000US04013116709,4013116709,04013116709,Census Tract 1167.09; Maricopa County; Arizona,2987,516
1400000US04013116710,4013116710,04013116710,Census Tract 1167.10; Maricopa County; Arizona,5221,1186
1400000US04013116711,4013116711,04013116711,Census Tract 1167.11; Maricopa County; Arizona,2004,407
1400000US04013116712,4013116712,04013116712,Census Tract 1167.12; Maricopa County; Arizona,6922,796
1400000US04013116713,4013116713,04013116713,Census Tract 1167.13; Maricopa County; Arizona,5758,708
1400000US04013116714,4013116714,04013116714,Census Tract 1167.14; Maricopa County; Arizona,3580,507
1400000US04013116715,4013116715,04013116715,Census Tract 1167.15; Maricopa County; Arizona,1764,243
1400000US04013116717,4013116717,04013116717,Census Tract 1167.17; Maricopa County; Arizona,3438,395
1400000US04013116718,4013116718,04013116718,Census Tract 1167.18; Maricopa County; Arizona,2634,327
1400000US04013116719,4013116719,04013116719,Census Tract 1167.19; Maricopa County; Arizona,6749,1551
1400000US04013116720,4013116720,04013116720,Census Tract 1167.20; Maricopa County; Arizona,4122,651
1400000US04013116721,4013116721,04013116721,Census Tract 1167.21; Maricopa County; Arizona,3557,646
1400000US04013116725,4013116725,04013116725,Census Tract 1167.25; Maricopa County; Arizona,4999,939
1400000US04013116727,4013116727,04013116727,Census Tract 1167.27; Maricopa County; Arizona,3818,276
1400000US04013116728,4013116728,04013116728,Census Tract 1167.28; Maricopa County; Arizona,5392,1356
1400000US04013116729,4013116729,04013116729,Census Tract 1167.29; Maricopa County; Arizona,3793,308
1400000US04013116730,4013116730,04013116730,Census Tract 1167.30; Maricopa County; Arizona,1827,186
1400000US04013116731,4013116731,04013116731,Census Tract 1167.31; Maricopa County; Arizona,3497,491
1400000US04013116732,4013116732,04013116732,Census Tract 1167.32; Maricopa County; Arizona,4214,576
1400000US04013116733,4013116733,04013116733,Census Tract 1167.33; Maricopa County; Arizona,8,11
1400000US04013116734,4013116734,04013116734,Census Tract 1167.34; Maricopa County; Arizona,1488,203
1400000US04013116735,4013116735,04013116735,Census Tract 1167.35; Maricopa County; Arizona,2988,498
1400000US04013116736,4013116736,04013116736,Census Tract 1167.36; Maricopa County; Arizona,3387,1023
1400000US04013116737,4013116737,04013116737,Census Tract 1167.37; Maricopa County; Arizona,3540,486
1400000US04013116738,4013116738,04013116738,Census Tract 1167.38; Maricopa County; Arizona,6603,1039
1400000US04013116800,4013116800,04013116800,Census Tract 1168; Maricopa County; Arizona,2447,676
1400000US04013116900,4013116900,04013116900,Census Tract 1169; Maricopa County; Arizona,2763,414
1400000US04013117000,4013117000,04013117000,Census Tract 1170; Maricopa County; Arizona,6417,1143
1400000US04013117100,4013117100,04013117100,Census Tract 1171; Maricopa County; Arizona,3029,470
1400000US04013117200,4013117200,04013117200,Census Tract 1172; Maricopa County; Arizona,1125,303
1400000US04013117300,4013117300,04013117300,Census Tract 1173; Maricopa County; Arizona,2283,487
1400000US04013216806,4013216806,04013216806,Census Tract 2168.06; Maricopa County; Arizona,3104,325
1400000US04013216807,4013216807,04013216807,Census Tract 2168.07; Maricopa County; Arizona,5085,659
1400000US04013216809,4013216809,04013216809,Census Tract 2168.09; Maricopa County; Arizona,4601,507
1400000US04013216810,4013216810,04013216810,Census Tract 2168.10; Maricopa County; Arizona,1679,221
1400000US04013216813,4013216813,04013216813,Census Tract 2168.13; Maricopa County; Arizona,4442,537
1400000US04013216816,4013216816,04013216816,Census Tract 2168.16; Maricopa County; Arizona,6505,712
1400000US04013216819,4013216819,04013216819,Census Tract 2168.19; Maricopa County; Arizona,6546,1086
1400000US04013216820,4013216820,04013216820,Census Tract 2168.20; Maricopa County; Arizona,4284,608
1400000US04013216821,4013216821,04013216821,Census Tract 2168.21; Maricopa County; Arizona,5673,566
1400000US04013216822,4013216822,04013216822,Census Tract 2168.22; Maricopa County; Arizona,4835,1038
1400000US04013216826,4013216826,04013216826,Census Tract 2168.26; Maricopa County; Arizona,4999,624
1400000US04013216829,4013216829,04013216829,Census Tract 2168.29; Maricopa County; Arizona,5565,694
1400000US04013216830,4013216830,04013216830,Census Tract 2168.30; Maricopa County; Arizona,3036,555
1400000US04013216831,4013216831,04013216831,Census Tract 2168.31; Maricopa County; Arizona,2505,402
1400000US04013216832,4013216832,04013216832,Census Tract 2168.32; Maricopa County; Arizona,2551,366
1400000US04013216833,4013216833,04013216833,Census Tract 2168.33; Maricopa County; Arizona,3869,493
1400000US04013216834,4013216834,04013216834,Census Tract 2168.34; Maricopa County; Arizona,3320,1110
1400000US04013216835,4013216835,04013216835,Census Tract 2168.35; Maricopa County; Arizona,2422,339
1400000US04013216836,4013216836,04013216836,Census Tract 2168.36; Maricopa County; Arizona,3763,591
1400000US04013216837,4013216837,04013216837,Census Tract 2168.37; Maricopa County; Arizona,4786,771
1400000US04013216838,4013216838,04013216838,Census Tract 2168.38; Maricopa County; Arizona,5639,862
1400000US04013216839,4013216839,04013216839,Census Tract 2168.39; Maricopa County; Arizona,3852,423
1400000US04013216840,4013216840,04013216840,Census Tract 2168.40; Maricopa County; Arizona,5598,921
1400000US04013216841,4013216841,04013216841,Census Tract 2168.41; Maricopa County; Arizona,4335,360
1400000US04013216842,4013216842,04013216842,Census Tract 2168.42; Maricopa County; Arizona,3698,449
1400000US04013216843,4013216843,04013216843,Census Tract 2168.43; Maricopa County; Arizona,3716,412
1400000US04013216844,4013216844,04013216844,Census Tract 2168.44; Maricopa County; Arizona,4030,649
1400000US04013216845,4013216845,04013216845,Census Tract 2168.45; Maricopa County; Arizona,3040,357
1400000US04013216849,4013216849,04013216849,Census Tract 2168.49; Maricopa County; Arizona,6298,822
1400000US04013216850,4013216850,04013216850,Census Tract 2168.50; Maricopa County; Arizona,5160,983
1400000US04013216851,4013216851,04013216851,Census Tract 2168.51; Maricopa County; Arizona,4261,663
1400000US04013216852,4013216852,04013216852,Census Tract 2168.52; Maricopa County; Arizona,3189,397
1400000US04013216853,4013216853,04013216853,Census Tract 2168.53; Maricopa County; Arizona,5389,973
1400000US04013216854,4013216854,04013216854,Census Tract 2168.54; Maricopa County; Arizona,4344,412
1400000US04013216855,4013216855,04013216855,Census Tract 2168.55; Maricopa County; Arizona,3903,480
1400000US04013216856,4013216856,04013216856,Census Tract 2168.56; Maricopa County; Arizona,2621,435
1400000US04013216857,4013216857,04013216857,Census Tract 2168.57; Maricopa County; Arizona,4644,686
1400000US04013216858,4013216858,04013216858,Census Tract 2168.58; Maricopa County; Arizona,0,14
1400000US04013216859,4013216859,04013216859,Census Tract 2168.59; Maricopa County; Arizona,7179,1050
1400000US04013216860,4013216860,04013216860,Census Tract 2168.60; Maricopa County; Arizona,2549,429
1400000US04013216861,4013216861,04013216861,Census Tract 2168.61; Maricopa County; Arizona,4307,609
1400000US04013216901,4013216901,04013216901,Census Tract 2169.01; Maricopa County; Arizona,3449,609
1400000US04013216902,4013216902,04013216902,Census Tract 2169.02; Maricopa County; Arizona,3387,515
1400000US04013217001,4013217001,04013217001,Census Tract 2170.01; Maricopa County; Arizona,4411,835
1400000US04013217002,4013217002,04013217002,Census Tract 2170.02; Maricopa County; Arizona,4409,635
1400000US04013217101,4013217101,04013217101,Census Tract 2171.01; Maricopa County; Arizona,2434,288
1400000US04013217102,4013217102,04013217102,Census Tract 2171.02; Maricopa County; Arizona,2917,482
1400000US04013217201,4013217201,04013217201,Census Tract 2172.01; Maricopa County; Arizona,2179,332
1400000US04013217203,4013217203,04013217203,Census Tract 2172.03; Maricopa County; Arizona,3927,739
1400000US04013217204,4013217204,04013217204,Census Tract 2172.04; Maricopa County; Arizona,2922,415
1400000US04013217300,4013217300,04013217300,Census Tract 2173; Maricopa County; Arizona,4669,695
1400000US04013217400,4013217400,04013217400,Census Tract 2174; Maricopa County; Arizona,3461,416
1400000US04013217501,4013217501,04013217501,Census Tract 2175.01; Maricopa County; Arizona,3273,765
1400000US04013217502,4013217502,04013217502,Census Tract 2175.02; Maricopa County; Arizona,3894,503
1400000US04013217600,4013217600,04013217600,Census Tract 2176; Maricopa County; Arizona,4553,582
1400000US04013217700,4013217700,04013217700,Census Tract 2177; Maricopa County; Arizona,4495,711
1400000US04013217800,4013217800,04013217800,Census Tract 2178; Maricopa County; Arizona,5861,1017
1400000US04013217900,4013217900,04013217900,Census Tract 2179; Maricopa County; Arizona,3846,516
1400000US04013218000,4013218000,04013218000,Census Tract 2180; Maricopa County; Arizona,5134,769
1400000US04013218100,4013218100,04013218100,Census Tract 2181; Maricopa County; Arizona,2206,321
1400000US04013218200,4013218200,04013218200,Census Tract 2182; Maricopa County; Arizona,6914,1160
1400000US04013218300,4013218300,04013218300,Census Tract 2183; Maricopa County; Arizona,4329,505
1400000US04013318400,4013318400,04013318400,Census Tract 3184; Maricopa County; Arizona,5608,1023
1400000US04013318501,4013318501,04013318501,Census Tract 3185.01; Maricopa County; Arizona,3707,505
1400000US04013318700,4013318700,04013318700,Census Tract 3187; Maricopa County; Arizona,5644,666
1400000US04013318800,4013318800,04013318800,Census Tract 3188; Maricopa County; Arizona,7898,1387
1400000US04013318900,4013318900,04013318900,Census Tract 3189; Maricopa County; Arizona,6428,980
1400000US04013319001,4013319001,04013319001,Census Tract 3190.01; Maricopa County; Arizona,3727,64
1400000US04013319002,4013319002,04013319002,Census Tract 3190.02; Maricopa County; Arizona,5217,432
1400000US04013319101,4013319101,04013319101,Census Tract 3191.01; Maricopa County; Arizona,3644,449
1400000US04013319103,4013319103,04013319103,Census Tract 3191.03; Maricopa County; Arizona,5031,794
1400000US04013319104,4013319104,04013319104,Census Tract 3191.04; Maricopa County; Arizona,7229,1170
1400000US04013319201,4013319201,04013319201,Census Tract 3192.01; Maricopa County; Arizona,7571,874
1400000US04013319202,4013319202,04013319202,Census Tract 3192.02; Maricopa County; Arizona,3773,538
1400000US04013319300,4013319300,04013319300,Census Tract 3193; Maricopa County; Arizona,2322,433
1400000US04013319401,4013319401,04013319401,Census Tract 3194.01; Maricopa County; Arizona,6767,1043
